the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp
,,2020-10-29,448,positive,2022-03-08 16:00:02
,,2021-03-21,2722,negative,2022-03-08 16:00:02
,,2021-07-30,205,positive,2022-03-08 16:00:02
,,2021-12-16,11578,negative,2022-03-08 16:00:02
,,2020-05-03,138,positive,2022-03-08 16:00:02
,,2020-08-28,4520,negative,2022-03-08 16:00:02
,,2021-04-25,337,positive,2022-03-08 16:00:02
,,2020-12-29,6244,negative,2022-03-08 16:00:02
,,2021-09-04,2770,negative,2022-03-08 16:00:02
,,2022-01-13,2249,positive,2022-03-08 16:00:02
,,2020-03-28,490,negative,2022-03-08 16:00:02
,,2020-07-31,139,positive,2022-03-08 16:00:02
,,2021-03-27,381,positive,2022-03-08 16:00:02
,,2020-11-24,8638,negative,2022-03-08 16:00:02
,,2021-12-09,11943,negative,2022-03-08 16:00:02
,,2020-09-04,3962,negative,2022-03-08 16:00:02
,,2021-08-06,290,positive,2022-03-08 16:00:02
,,2020-04-26,211,positive,2022-03-08 16:00:02
,,2020-06-24,2567,negative,2022-03-08 16:00:02
,,2021-10-01,293,positive,2022-03-08 16:00:02
,,2022-02-19,1943,negative,2022-03-08 16:00:02
,,2021-02-04,480,positive,2022-03-08 16:00:02
,,2021-06-23,3766,negative,2022-03-08 16:00:02
,,2021-03-05,332,positive,2022-03-08 16:00:02
,,2020-10-13,5239,negative,2022-03-08 16:00:02
,,2021-06-02,4974,negative,2022-03-08 16:00:02
,,2021-01-24,280,positive,2022-03-08 16:00:02
,,2020-07-20,153,positive,2022-03-08 16:00:02
,,2020-03-07,6,negative,2022-03-08 16:00:02
,,2022-01-24,968,positive,2022-03-08 16:00:02
,,2021-09-25,4257,negative,2022-03-08 16:00:02
,,2021-05-16,2206,negative,2022-03-08 16:00:02
,,2021-01-09,401,positive,2022-03-08 16:00:02
,,2021-05-08,170,positive,2022-03-08 16:00:02
,,2020-12-16,8084,negative,2022-03-08 16:00:02
,,2021-04-25,2808,negative,2022-03-08 16:00:02
,,2020-12-29,804,positive,2022-03-08 16:00:02
,,2022-02-04,235,positive,2022-03-08 16:00:02
,,2020-07-09,158,positive,2022-03-08 16:00:02
,,2021-09-14,10224,negative,2022-03-08 16:00:02
,,2020-03-18,312,negative,2022-03-08 16:00:02
,,2021-07-18,58,positive,2022-03-08 16:00:02
,,2020-09-17,4331,negative,2022-03-08 16:00:02
,,2021-11-26,3266,negative,2022-03-08 16:00:02
,,2020-05-15,274,positive,2022-03-08 16:00:02
,,2021-05-30,52,positive,2022-03-08 16:00:02
,,2021-01-27,9136,negative,2022-03-08 16:00:02
,,2020-06-16,116,positive,2022-03-08 16:00:02
,,2022-02-27,39,positive,2022-03-08 16:00:02
,,2021-10-25,9170,negative,2022-03-08 16:00:02
,,2020-10-12,197,positive,2022-03-08 16:00:02
,,2021-07-11,1666,negative,2022-03-08 16:00:02
,,2021-11-01,273,positive,2022-03-08 16:00:02
,,2020-05-22,1965,negative,2022-03-08 16:00:02
,,2021-11-19,9293,negative,2022-03-08 16:00:02
,,2020-09-24,4506,negative,2022-03-08 16:00:02
,,2021-07-25,85,positive,2022-03-08 16:00:02
,,2020-05-08,275,positive,2022-03-08 16:00:02
,,2021-05-24,7926,negative,2022-03-08 16:00:02
,,2021-01-01,201,positive,2022-03-08 16:00:02
,,2021-09-02,289,positive,2022-03-08 16:00:02
,,2020-03-30,456,positive,2022-03-08 16:00:02
,,2020-07-29,3423,negative,2022-03-08 16:00:02
,,2022-01-15,3073,negative,2022-03-08 16:00:02
,,2021-08-23,7032,negative,2022-03-08 16:00:02
,,2020-04-09,924,negative,2022-03-08 16:00:02
,,2020-08-20,125,positive,2022-03-08 16:00:02
,,2021-12-24,1599,positive,2022-03-08 16:00:02
,,2021-04-16,594,positive,2022-03-08 16:00:02
,,2020-12-06,5205,negative,2022-03-08 16:00:02
,,2020-07-22,157,positive,2022-03-08 16:00:02
,,2022-01-22,585,positive,2022-03-08 16:00:02
,,2020-03-05,9,negative,2022-03-08 16:00:02
,,2021-09-27,12119,negative,2022-03-08 16:00:02
,,2020-11-11,7982,negative,2022-03-08 16:00:02
,,2021-03-08,357,positive,2022-03-08 16:00:02
,,2021-11-16,11347,negative,2022-03-08 16:00:02
,,2021-06-26,30,positive,2022-03-08 16:00:02
,,2020-09-27,2988,negative,2022-03-08 16:00:02
,,2020-06-06,59,positive,2022-03-08 16:00:02
,,2021-02-22,6853,negative,2022-03-08 16:00:02
,,2020-10-24,268,positive,2022-03-08 16:00:02
,,2020-10-17,166,positive,2022-03-08 16:00:02
,,2021-03-01,7711,negative,2022-03-08 16:00:02
,,2021-12-02,11741,negative,2022-03-08 16:00:02
,,2021-07-12,70,positive,2022-03-08 16:00:02
,,2020-05-21,302,positive,2022-03-08 16:00:02
,,2020-09-11,3613,negative,2022-03-08 16:00:02
,,2020-11-26,6046,negative,2022-03-08 16:00:02
,,2021-03-25,662,positive,2022-03-08 16:00:02
,,2020-08-07,109,positive,2022-03-08 16:00:02
,,2021-09-11,2699,negative,2022-03-08 16:00:02
,,2022-01-06,4404,positive,2022-03-08 16:00:02
,,2020-03-21,192,negative,2022-03-08 16:00:02
,,2021-04-13,752,positive,2022-03-08 16:00:02
,,2020-12-09,8215,negative,2022-03-08 16:00:02
,,2020-09-05,70,positive,2022-03-08 16:00:02
,,2021-08-07,2192,negative,2022-03-08 16:00:02
,,2020-04-25,965,negative,2022-03-08 16:00:02
,,2021-12-08,679,positive,2022-03-08 16:00:02
,,2020-03-14,13,positive,2022-03-08 16:00:02
,,2022-01-31,10185,negative,2022-03-08 16:00:02
,,2020-07-13,2530,negative,2022-03-08 16:00:02
,,2021-09-18,189,positive,2022-03-08 16:00:02
,,2021-01-18,481,positive,2022-03-08 16:00:02
,,2021-06-08,7147,negative,2022-03-08 16:00:02
,,2020-10-10,4685,negative,2022-03-08 16:00:02
,,2021-07-09,36,positive,2022-03-08 16:00:02
,,2021-11-03,8570,negative,2022-03-08 16:00:02
,,2020-05-24,98,positive,2022-03-08 16:00:02
,,2021-11-16,359,positive,2022-03-08 16:00:02
,,2021-06-26,1702,negative,2022-03-08 16:00:02
,,2020-06-06,1332,negative,2022-03-08 16:00:02
,,2020-09-27,78,positive,2022-03-08 16:00:02
,,2022-02-11,163,positive,2022-03-08 16:00:02
,,2021-10-09,3548,negative,2022-03-08 16:00:02
,,2020-07-02,136,positive,2022-03-08 16:00:02
,,2021-01-12,8811,negative,2022-03-08 16:00:02
,,2021-05-13,248,positive,2022-03-08 16:00:02
,,2020-04-28,526,positive,2022-03-08 16:00:02
,,2021-12-11,4248,negative,2022-03-08 16:00:02
